variant,window,strategy,total_pnl,mean,std,sharpe,score,turnover,commission,max_drawdown
current_four,selection_251_333,pairs,4540.350423000002,54.70301714457833,327.7668724379216,2.638859256480704,47.83386662719193,604595.77,60.459577,-1669.1426619999984
current_four,selection_251_333,combined,20289.338266999977,244.44985863855393,1465.9579803968534,2.636563726044697,213.70712660660234,5482917.330000001,548.291733,-7665.519874000012
current_four,selection_334_416,pairs,3902.8624779999936,47.022439493975824,270.2950842767342,2.7506606406903553,41.533097427623005,588375.22,58.837522,-2523.0520480000023
current_four,selection_334_416,combined,30200.673231000022,363.8635329036147,1440.0851684281185,3.995032886516658,342.4096791742898,5351567.690000001,535.1567690000002,-7931.547744999998
current_four,selection_417_500,pairs,10095.666709000001,120.1865084404762,405.4360206044526,4.687091074546501,114.95391512059958,709432.9099999999,70.943291,-1938.9032650000036
current_four,selection_417_500,combined,26591.702749999968,316.567889880952,1485.4470566816854,3.369610386294964,290.9437305092019,5678272.500000003,567.8272499999999,-11612.473797000006
current_four,holdout_501_750,pairs,20698.06483599999,82.79225934399996,329.72118297593573,3.9702046103829765,77.85313107537334,2077951.6399999992,207.79516400000009,-1882.0017359999965
current_four,holdout_501_750,combined,45958.745109000025,183.8349804360001,1377.3664370794027,2.1103216839773378,150.12517766730258,15304448.909999996,1530.4448909999994,-22521.564124999975
current_plus_CTGI,selection_251_333,pairs,8285.161668,99.82122491566265,418.3527936951853,3.7726822232175294,93.26832230592625,788283.32,78.82833200000002,-2053.1222059999945
current_plus_CTGI,selection_251_333,combined,21455.963361999995,258.50558267469876,1478.4067771096722,2.7646871002552498,228.59805223901424,5476666.380000002,547.666638,-7078.288009999989
current_plus_CTGI,selection_334_416,pairs,7041.159132999995,84.833242566265,365.9801297159572,3.6650387005320564,78.95531486371682,744408.6700000002,74.44086700000003,-1821.718853999997
current_plus_CTGI,selection_334_416,combined,34474.36919100002,415.353845674699,1363.944196218994,4.8149484080184335,398.17891537765445,5330208.089999999,533.020809,-7636.366422000019
current_plus_CTGI,selection_417_500,pairs,11263.868890000002,134.0936772619048,456.15344991567076,4.648013076011403,128.16138538155033,929811.0999999999,92.98110999999999,-1505.369646
current_plus_CTGI,selection_417_500,combined,23524.98464599993,280.0593410238087,1355.3655480248635,3.2671090058754455,256.06933666490625,5664653.540000002,566.4653539999998,-11127.104611999983
current_plus_CTGI,holdout_501_750,pairs,24267.243208999986,97.06897283599994,377.3863840148987,4.066906720760963,91.53473876785671,2453067.91,245.30679100000012,-2108.0709839999968
current_plus_CTGI,holdout_501_750,combined,41855.19407600003,167.42077630400013,1353.168924879746,1.9562634458267538,132.73630720197778,14870659.239999989,1487.065924000001,-22803.234590999993
current_plus_DIHO,selection_251_333,pairs,5439.618670999997,65.53757434939756,357.6721450592989,2.8971784653843287,58.56077376960234,645313.2899999999,64.531329,-1669.1426619999993
current_plus_DIHO,selection_251_333,combined,19658.45324199999,236.84883424096373,1465.2578748037351,2.5558019179983793,205.4036732580745,5214667.579999999,521.466758,-6906.243339000019
current_plus_DIHO,selection_334_416,pairs,3902.8624779999936,47.022439493975824,270.2950842767342,2.7506606406903553,41.533097427623005,588375.22,58.837522,-2523.0520480000023
current_plus_DIHO,selection_334_416,combined,32857.435028000014,395.87271118072306,1423.2124910237283,4.39800605578095,376.4122936907953,5215449.720000001,521.5449720000001,-6361.428427999999
current_plus_DIHO,selection_417_500,pairs,11293.083795999999,134.44147376190475,452.48138510206434,4.697886842145864,128.61396386352178,791162.04,79.11620400000001,-1938.9032650000036
current_plus_DIHO,selection_417_500,combined,20797.55159399999,247.5898999285713,1453.4099910045177,2.6934864018868985,217.59670439584232,5522384.060000001,552.2384059999999,-14334.254999000004
current_plus_DIHO,holdout_501_750,pairs,20698.06483599999,82.79225934399996,329.72118297593573,3.9702046103829765,77.85313107537334,2077951.6399999992,207.79516400000009,-1882.0017359999965
current_plus_DIHO,holdout_501_750,combined,46238.85410800003,184.9554164320001,1340.129337537529,2.1821788581420205,152.855714984393,14734458.920000006,1473.4458920000013,-20786.171805999977
current_plus_both,selection_251_333,pairs,9184.429916,110.65578212048192,447.62890650337846,3.9086428812369216,103.85769545342208,829000.84,82.90008400000002,-2053.1222059999927
current_plus_both,selection_251_333,combined,20825.078336999955,250.9045582771079,1488.276678650147,2.6655993836903598,219.94940037335982,5208416.630000001,520.841663,-7568.996599000002
current_plus_both,selection_334_416,pairs,7041.159132999995,84.833242566265,365.9801297159572,3.6650387005320564,78.95531486371682,744408.6700000002,74.44086700000003,-1821.718853999997
current_plus_both,selection_334_416,combined,37131.13098800002,447.36302395180746,1314.8462368857581,5.379663632680302,432.4214288435026,5194090.119999999,519.4090120000001,-4969.829221000013
current_plus_both,selection_417_500,pairs,12461.285976999998,148.34864258333332,487.0266099312555,4.816159823626427,142.21736678294192,1011540.23,101.15402299999997,-1505.369646
current_plus_both,selection_417_500,combined,17730.833489999997,211.08135107142854,1317.757481200318,2.532703667003003,182.61296484161807,5508765.100000002,550.8765099999998,-12614.937112999996
current_plus_both,holdout_501_750,pairs,24267.243208999986,97.06897283599994,377.3863840148987,4.066906720760963,91.53473876785671,2453067.91,245.30679100000012,-2108.0709839999968
current_plus_both,holdout_501_750,combined,42135.30307499998,168.54121229999993,1312.7265285574383,2.0300271948479387,135.62950176902515,14300669.249999993,1430.0669250000012,-20726.765406000013
training_selected_four,selection_251_333,pairs,5182.023960000005,62.43402361445789,317.8556366856689,3.1057136530454184,56.56917235574616,492160.4,49.21604,-994.8121149999963
training_selected_four,selection_251_333,combined,20931.011804,252.18086510843375,1441.774904411442,2.765570109502895,223.0215401787345,5370481.96,537.048196,-6261.298009000035
training_selected_four,selection_334_416,pairs,4606.261771999998,55.49712978313251,262.2673702529343,3.3457714077701137,50.94601596886092,458382.27999999997,45.838228000000015,-1294.454552000001
training_selected_four,selection_334_416,combined,30904.072525000007,372.3382231927712,1491.289158990025,3.947714761189261,349.88718128428866,5221574.75,522.1574750000001,-8315.16953800001
training_selected_four,selection_417_500,pairs,7473.023173999995,88.96456159523804,345.87340642735404,4.066959766945607,83.89251249536254,608768.2600000001,60.87682599999999,-1939.4026440000025
training_selected_four,selection_417_500,combined,23969.059214999994,285.3459430357142,1457.5356833536036,3.0954408574249843,258.38009783744536,5577607.850000004,557.7607849999999,-10816.837958000018
training_selected_four,holdout_501_750,pairs,17390.119303000003,69.56047721200001,294.3788512182201,3.7361641674981945,64.91037782517797,1612306.9699999995,161.230697,-1211.2789870000051
