lookback,entry_z,meanPL,stdPL,sharpe,score,entries
10,0.5,-48.22354280594827,958.7452377224997,-0.795290688857442,-48.22354280594827,22
10,0.75,-75.90576489516721,931.9697355649955,-1.2877837951490025,-75.90576489516721,25
10,1.0,-68.3522465501858,912.9656723886154,-1.1837727793338502,-68.3522465501858,25
10,1.25,-43.648474621561014,902.3371499661877,-0.7648393740707731,-43.648474621561014,24
10,1.5,-28.269657846839905,843.5943082987325,-0.5298548519723333,-28.269657846839905,23
10,1.75,-19.308713325650455,814.4687815795256,-0.37484256104871966,-19.308713325650455,21
10,2.0,6.163095573977501,784.6946396035463,0.12418473675899179,0.09360280011761107,19
10,2.25,4.859226561338131,735.4550914158219,0.10446745001815763,0.05245841476032216,17
10,2.5,-5.986599877323708,703.3631311559745,-0.1345769362499426,-5.986599877323708,14
10,2.75,-17.161074953160163,646.1585180563441,-0.41992856576504495,-17.161074953160163,10
10,3.0,-5.72992084758377,620.2138250263042,-0.1460754336625658,-5.72992084758377,9
15,0.5,75.94004718884754,966.3654819895718,1.2425087568474251,46.087381495581724,22
15,0.75,60.276939160594836,934.8995207557894,1.0194272961910555,30.718292180062104,21
15,1.0,62.44434460148702,907.707902595806,1.0877197134256322,33.8412723225193,23
15,1.25,35.225498536803336,863.717755903315,0.6448449527052241,10.345659423470902,20
15,1.5,41.22240357769513,824.0348226007654,0.7909658812765159,15.86455523054194,17
15,1.75,20.792599417100185,789.4435251561632,0.4164450688256598,3.0730409279147466,16
15,2.0,-15.566259927137919,761.6795604226122,-0.3231334971930353,-15.566259927137919,14
15,2.25,15.676033727880732,711.8704567850093,0.34818112470633417,1.6949304829956098,14
15,2.5,12.961617882527571,696.5819070226466,0.2942097279324206,1.0325707343890014,13
15,2.75,-11.85945413308586,595.6836843602623,-0.31478860216832527,-11.85945413308586,8
15,3.0,-19.52284048104115,593.5377843151014,-0.5200733967380597,-19.52284048104115,8
20,0.5,-14.40734844684016,960.2161319281465,-0.23723844362111549,-14.40734844684016,19
20,0.75,-3.425919779925445,919.4757972232176,-0.05891242389579259,-3.425919779925445,23
20,1.0,7.419960571747692,886.6519120142009,0.1323178534745669,0.1276734672560283,23
20,1.25,-12.795843907062894,857.4151809951597,-0.2359650973484168,-12.795843907062894,21
20,1.5,-8.522574182899369,805.7639495618303,-0.16723722847346367,-8.522574182899369,16
20,1.75,23.682925372490896,781.6046189459174,0.4790912439454567,4.421129559747178,15
20,2.0,41.650324495167375,723.5882500708707,0.9101162897333637,18.869567041552187,12
20,2.25,54.593143271375574,699.3298179776259,1.2343151466406226,32.959535069197294,12
20,2.5,78.81981936951694,691.6009728765524,1.801979492119803,60.26144755163381,11
20,2.75,40.322425879553855,626.2861296847677,1.017990823354887,20.520667491891317,9
20,3.0,34.53706948327126,477.1231178143435,1.1445243292228133,19.585542524243916,6
25,0.5,139.54233653903364,948.3281701626119,2.3265765342044937,117.78290376266366,20
25,0.75,141.6497513472122,913.5190514657137,2.451704994739822,121.44541061616219,21
25,1.0,141.89245024163637,879.4500948473587,2.5510448413992095,122.99318715949433,21
25,1.25,138.8493910022311,835.4323556381062,2.62786283252681,121.28610885461856,17
25,1.5,144.45549559628316,793.6419553017786,2.8779248851516344,128.89328195623608,17
25,1.75,124.54181740520478,714.4476431647718,2.7562258109823374,110.05478773150813,12
25,2.0,112.4454839152418,699.8878324955051,2.5402916386196472,97.35837098522592,11
25,2.25,57.551608402230556,669.8258092239245,1.3585186107414635,37.32664417567014,10
25,2.5,35.296831066171,615.9092491567486,0.9061268401806624,15.914318865109566,8
25,2.75,-32.84030499851298,500.7128615658089,-1.0370231206480052,-32.84030499851298,5
25,3.0,3.848543170260068,459.0955997214905,0.13254496556806483,0.06644454367649551,4
30,0.5,154.21272633680314,957.9622454412842,2.5453166955650266,133.59229447571946,14
30,0.75,150.68482133754674,932.0725920302749,2.5561702399393695,130.6841981065155,19
30,1.0,146.49621936654322,876.4477540245792,2.642837064015992,128.1488451489141,17
30,1.25,152.43058384237952,823.0686594417184,2.9282358432778617,136.51021760193765,18
30,1.5,111.99799103791818,801.4963832142884,2.2094219790649783,92.95571866431088,16
30,1.75,78.14906205427509,706.9797257868653,1.7477801985219095,58.875533683250694,11
30,2.0,58.33454410334579,671.8158136182873,1.3729211332537175,38.113984431502246,9
30,2.25,64.61490307806704,568.3017704805301,1.7977267987828376,49.34608777154242,6
30,2.5,42.817188190334754,504.7894771489788,1.3411515474753084,27.518163701573904,5
30,2.75,-0.8994326431227507,438.8013114742673,-0.03240938073563699,-0.8994326431227507,3
30,3.0,-0.8994326431227507,438.8013114742673,-0.03240938073563699,-0.8994326431227507,3
35,0.5,126.8867111442381,935.7324515670975,2.1440477529216597,104.21598504030732,23
35,0.75,138.262250479554,890.3365297493722,2.4553840672985525,118.59174218977122,20
35,1.0,106.51761183122667,835.6146472552061,2.0155119672375785,85.4762168099825,16
35,1.25,117.4011778594798,760.4904353075736,2.440892776464287,100.52824107019566,16
35,1.5,89.15827871078079,724.546712960767,1.9456525572660688,70.52760507110685,12
35,1.75,64.61535782453556,686.9748849475876,1.4871846630019399,44.496731792968546,9
35,2.0,73.67918922973986,641.8776144005586,1.8149414225803404,56.520601194655235,8
35,2.25,80.65531851821581,596.6862747979144,2.1372580759487105,66.16947593547,8
35,2.5,31.971182784386666,466.93765131825137,1.0826044633881726,17.251705105812068,5
35,2.75,27.991931607434893,442.6586359619738,0.9998478827232978,13.993836613583582,4
35,3.0,19.87113855985132,239.36156694996978,1.3126179434449976,12.573530164551132,2
40,0.5,140.05077357992556,935.6814944144757,2.3666142550902993,118.83373379398161,24
40,0.75,137.90151422156134,850.5670573812907,2.5634832312271705,119.68814927378077,19
40,1.0,115.26429202825271,809.4378565373878,2.2515483600885404,96.27345894235138,18
40,1.25,106.75215003345721,780.0693257854788,2.1637816541871064,87.96421096983518,16
40,1.5,80.62493345130105,717.9560432367529,1.775585206833732,61.209883346487594,12
40,1.75,68.54787343048338,671.2563377196666,1.6146395692713345,49.54407100068279,9
40,2.0,70.41880476505581,636.5151614572419,1.7492420184813888,53.07362065401602,8
40,2.25,50.63389689070636,612.1418872833142,1.3078539821491022,31.953124921295025,6
40,2.5,21.44252036951685,547.2500252360668,0.6195267246719506,5.947280224200978,5
40,2.75,-1.9150978654274002,452.07170777724764,-0.06698131173319594,-1.9150978654274002,4
40,3.0,35.236178165799316,313.3560830026196,1.77795461916226,26.768228211528136,3
45,0.5,97.06199239256469,919.2394435194383,1.6695158827132617,71.43359727417396,21
45,0.75,85.59732815613378,862.0252319139405,1.5700382574489828,60.894058060050874,19
45,1.0,98.77350593085481,808.2310109865782,1.9323018232149847,77.90787840618538,17
45,1.25,80.78643960594788,732.9701164594986,1.7426982865579572,60.774922816897735,14
45,1.5,56.99768691301123,709.2796104982976,1.2706026603504035,35.19650559049887,10
45,1.75,44.90961755018607,652.3064249090788,1.088573367382163,24.35594136285757,8
45,2.0,48.97730177174729,617.6096886070103,1.253864941768043,29.93611751109615,7
45,2.25,44.48446077695182,610.0339108000828,1.1529868590017747,25.387325204425355,6
45,2.5,7.122216158364365,463.1342873958593,0.24315220942856985,0.39758060718236216,4
45,2.75,13.152780368029767,453.1901246468647,0.4588884583410959,2.2879094863138145,4
45,3.0,35.236178165799316,313.3560830026196,1.77795461916226,26.768228211528136,3
50,0.5,90.10615312862431,921.4054109158195,1.5462285748851123,63.5326167660841,20
50,0.75,90.36692821115247,879.7839308954876,1.6240653430058734,65.52438906437057,17
50,1.0,71.94315752118983,810.5354848099851,1.403419369631716,47.71649451552385,16
